국가코드,DB종류,특허/실용 구분,문헌종류 코드,발명의 명칭,요약,대표청구항,청구항 수,출원번호,출원일,공개번호/공표/재공표 ,공개일,등록번호,등록일,출원인,출원인 국적,출원인 수,출원인 대표명화 코드,출원인 대표명화 영문명,출원인 대표명화 국문명[KR],출원인 식별기호[JP],발명자/고안자,우선권 번호,우선권 국가,우선권 주장일,국제 공개번호,국제 공개일,Original CPC Main,Original CPC All,Original IPC Main,Original IPC All,Original US Class Main[US],Original US Class All[US],Original FI[JP],Original F-term[JP],Original Theme Code [JP],WIPS ON key
US,US,P,A1,Modular wall systems with integrated growth medium,"A geometrical structure includes a superstructure capable of maintaining its structural integrity when in contact with a similar structure, an integrated growth medium, and flora within said growth medium to grow out of the superstructure. The purpose of said geometrical structure is to facilitate the rapid assembly of walls, partitions and coverings when like geometrical structures are joined together either by placement adjacent to or by a fastening means or integrated interlocks. A combination of a plurality of such geometrical structure forms a modular construction system for walls, partitions and coverings that will grow the intended flora when water is introduced. The modular system is considered a replacement for conventional wood fences, block walls, poured concrete walls, steel partitions and erosion control systems. Further, the modular system can be easily manufactured using recycled materials from landfills and waste products.","1. A structure ready for assembly containing: a growth medium capable of sustaining plant life; a flora species; a structure capable of allowing flora to grow out from the medium: The structure being of a geometry compatible with stacking or aligning a plurality of like units to facilitate either horizontal or vertical integration in partitioning, covering or stabilization",14,12/381633,2009-03-14,2009-0238648,2009-09-24,,,,,0,,,,,Michael Allen Wilkman,,,,,,,,E02D-005/00,E02D-005/00,405/284,405/284,,,,5.40904E+12
US,US,P,B2,Method for production of high pressure steam from produced water,"An evaporation based method for generation of high pressure steam from produced water in the heavy oil production industry. De-oiled produced water is processed through a high pH/high pressure evaporator driven by a commercial watertube boiler. The vapor produced by the evaporator is suitable for the steam assisted gravity drainage (SAGD) method being utilized by heavy oil recovery installations, without the use of once through steam generators that require extensive chemical treatment, and without requiring atmospheric distillation, which requires high power consuming compressors. Evaporator blowdown may be further treated in a crystallizing evaporator to provide a zero liquid discharge (ZLD) system and, with most produced waters, at least 98% of the incoming produced water stream can be recovered in the form of high pressure steam.","1. A process for generating steam for downhole injection in a steam flood process for oil recovery, said process comprising: (a) heating a de-oiled produced water stream containing water, dissolved solutes, and dissolved gases, said dissolved solutes further comprising at least one molecular species which is at low ionization levels when in solution at around neutral pH, (b) raising the pH of said heated, produced water stream to maintain the solubility of said molecular species therein at a selected concentration factor, (c) pressurizing and directing said produced water stream to a circulating concentrated brine in a produced water evaporator, said evaporator having a plurality of heat transfer surfaces, (d) distributing said circulating brine across a first surface of at least one of said plurality of heat transfer surfaces to generate a steam vapor suitable for injection into a selected geological formation to fluidize oil, (e) discharging at least some of said brine as an evaporator blowdown stream, (f) distributing steam from a watertube boiler across a second surface of at least one of said plurality of heat transfer surfaces to condense said steam as a condensate, (g) returning said condensate to said watertube boiler for steam production, and, (h) discharging at least some of said condensate as a boiler blowdown to the produced water evaporator.",34,10/580812,2004-11-24,2008-0110630,2008-05-15,7591309,2009-09-22,Aquatech International Corporation,US,1,,,,,Keith R. Minnich | Mark C. Nicholson | RamKumar Karlapudi | Richard M. Schoen,,,,WO2005-054746,2005-06-16,,,E21B-043/24,E21B-043/24 | E21B-043/34 | E21B-043/40,166/266,166/266 | 159/047.1 | 159/047.3 | 166/267 | 166/272.3 | 166/303 | 210/652 | 210/664 | 210/774 | 210/806,,,,4.90904E+12
US,US,P,B2,Dual porosity filter,"Disclosed is a method and a filter unit for depleting or enriching a liquid or gas with substance(s) comprising i) providing a filter unit comprising at least one convective layer and at least one receiving layer adjacent one another, ii) passing the liquid or gas through the filter so that the main direction of flow is along the layers and the main flow of liquid gas is in the convective layer, allowing the substance(s) to: a) be transferred from a convective layer to a receiving layer, and b) be retained or otherwise modified or transferred within a receiving layer, or c) be provided by the receiving layer, and d) be transferred from the receiving layer to the fluid in the convective layer.","1. A method for transferring substances between layers of liquid or between layers of gas, said method comprising i. providing a device comprising a. at least one convective layer for conducting either a liquid or gas of interest, where said liquid or gas comprises at least a first substance to be removed and optionally said liquid or gas is to be enriched by at least a second substance, and wherein said at least one convective layer has a thickness between 1 mm and 5 cm when conducting liquids and within 0.1 and 2 mm when conducting gas, and b. at least one receiving layer for conducting either liquid or gas of similar form as in the convective layer and said liquid or gas fill out empty space of said receiving layer and to which receiving layer or from which receiving layer the substances are transferred, and wherein said at least one receiving layer is designed as a structure having a fluid-proof or nearly fluid-proof frame located to obtain almost stagnant liquid or gas in the receiving layer or to obtain a liquid or gas running in another direction than in the convective layer through an inlet and/or outlet structure, or said at least one receiving layer has a grid-like substructure, or a ridge and valley structure perpendicular to the main direction of flow of the convective layer, or said at least one receiving layer has a filtering material selected from the group of sand, gravel, perlite, vermiculite, anthracite, activated carbon, charcoal, diatomaceous soil, chitin, chitosan, pozzolan, lime, marble, clay, iron-oxide-coated minerals (e.g sand), double metal-hydroxides, LECA, rockwool, glass wool, zeolithes, fly ash, soil, limed soil, iron-enriched soil, bark, humus, lignin, compost, leaves, seaweed, algae, alginate, xanthate, peat moss, bone gelatin beads, moss, wool, cotton, cocos fibres, other plant fibres, and modification hereof, and/or said at least one receiving layer and said at least one convective layer have a length of at least 5 m, and wherein said device is located such that said at least one convective layer and said at least one receiving layer are positioned horizontally or at an angle between horizontal and inclining 45° from horizontal, ii. passing a liquid or gas to be treated through said device, wherein said liquid or gas of interest within said at least one convective layer is running in a direction parallel to said at least one receiving layer, and wherein liquid or gas in said at least one receiving layer is either: a. stagnant, or b. running in another direction, and/or running with a different speed, when compared to the liquid or gas in said at least one convective layer, iii. allowing substances to be transferred to or from said at least one receiving layer without said receiving layer being percolated by said liquid or gas of interest of the convective layer, such that the first substance is removed from said liquid or gas and said liquid or gas is optionally enriched by the second substance, and iv. obtaining a liquid or gas of interest in said at least one convective layer from which the first substance is removed and said liquid or gas is optionally enriched by the second substance.",25,10/519025,2003-06-26,2005-0199558,2005-09-15,7588686,2009-09-15,University of Copenhagen,DK,1,EN047789,UNIV COPENHAGEN,,,Marina B. Jensen,2002-000986,DK,2002-06-26,WO2004-002605,2004-01-08,,,B01D-011/00,B01D-011/00,210/634,210/634 | 095/107 | 095/273 | 095/274 | 095/287 | 096/131 | 096/132 | 096/142 | 096/154 | 210/266 | 210/284 | 210/290 | 210/291 | 210/484 | 210/485 | 210/489 | 210/335 | 210/511 | 210/638 | 210/678 | 210/679 | 210/806,,,,4.90904E+12
US,US,P,A1,Method and Deodorizing and Decontaminating Biologically Contaminated Sludge,The present invention relates to an environmentally friendly method for deodorizing and rendering innocuous biologically contaminated sludge or slurry?primarily municipal wastewater sludge or liquid manure?containing up to 10% of solid matter with aerobic stabilization. The method comprises adding adsorbent carbonaceous mineral material having a particle size of less than or equal to 5 mm to the sludge or slurry and processing the obtained mixture by wet grinding to form a stable suspension in such a way that the solid content of the mixture is ground to particles having a particle size of less than 200 μm and the living organisms are lysed.,"1. Process for deodorizing and rendering innocuous biologically contaminated sludge or slurry with a solid content of less than or equal to 10% by aerobic stabilization, wherein an adsorbent carbonaceous mineral ground material with a particle size of less than or equal to 5 mm is added to the sludge or slurry and the mixture thus obtained is converted by wet grinding to a stable suspension in such a way that the solid content of the mixture is ground to a particle size of less than 200 μm and thereby the living organisms are lysed.",16,11/665051,2005-10-11,2009-0223266,2009-09-10,,,COMPAT-LINCENCIA KFT,HU,1,,,,,Janos Stadler | Peter Szabo | Ferenc Puskas,P0402055,HU,2004-10-11,,,,,C05F-003/04,C05F-003/04,071/012,071/012,,,,5.40904E+12
US,US,P,A1,REMEDIATION WITH HYDROEXCAVATION AND SOLVENTS,"The present invention describes methods of contaminant removal and remediation utilizing hydroexcavation in Hydroexcavation of the soil combination with solvents and/or beneficial microbes, for primary scrubbing and high pressure mixing of the soil. Various embodiments of the present invention are useful for cleaning soil with contaminants, including but not limited to hydrocarbon based materials. The solvent used in conjunction with various embodiments of the present invention comprise a degreasing composition, which may comprise sodium silicate.","1. A method for soil remediation, comprising: adding a solvent to the soil; scrubbing the soil; creating a slurry; allowing the slurry to settle and separate into at least two layers; and removing at least one of the layers, wherein a bottom layer resulting from the settling and separation comprises remediated soil.",21,12/091698,2006-10-24,2009-0220304,2009-09-03,,,"GGT WASTE, INC.",US,1,EN071101,GGT WASTE INC,,,Jim Ballew | William Anderson | Jong Soo Cho | Mark Yeager | Lee Daniel Starnes,,,,,,,,B09C-001/00,B09C-001/00,405/128.1,405/128.1,,,,5.40904E+12
US,US,P,B2,Thermally autogenous subsurface chemical reactor and method,A subsurface thermally autogenous reactor and method has downgoing and upgoing flow passages connected at the bottom to form a U-tube and in heat exchange relation to each other. The downgoing and upgoing flow passages each have an upper heat exchange section and a lower reaction section. An air injection system injects air into the downgoing flow passage between the heat exchange and reaction sections. The cross sectional area of the upgoing heat exchange section is greater than the cross sectional area of the downgoing heat exchange section to balance the downgoing and upgoing flow velocities. The downgoing heat exchange section has multiple tubes to increase the heat transfer area.,"1. A subsurface, thermally autogenous reactor for effecting a wet oxidation of aqueous wastes, comprising: downgoing means for defining a downgoing flow passage, having a downgoing heat exchange section and a downgoing reaction section below said downgoing heat exchange section, said downgoing heat exchange section extending to a depth sufficient to form a hydrostatic column of said aqueous wastes having a pressure and temperature sufficient to allow said wet oxidation, said downgoing heat exchange section having a selected first cross sectional area, an air injection system connected to said downgoing means between said downgoing heat exchange and reaction sections for injecting compressed air which contains oxygen into said aqueous wastes and to cause said wet oxidation at a pressure that increases the mass of said oxygen to produce increased heat during said wet oxidation and, upgoing means for defining an upgoing flow passage in heat exchange relation to said downgoing means, and having an upgoing heat exchange section and an upgoing reaction section below said upgoing heat exchange section, said upgoing means being in flow communication with said downgoing means such that said aqueous wastes and air flowing down said downgoing means flows back up said upgoing means as a two phase fluid, said upgoing heat exchange section having a selected second cross sectional area that is selected to be significantly greater than said first cross sectional area to slow the velocity of said two phase fluid in said upgoing heat exchange section relative to the velocity of said aqueous wastes in said downgoing heat exchange section to provide a substantially maximum amount of heat transfer from said two phase fluid in said upgoing heat exchange section to said aqueous wastes in said downgoing heat exchange section, and whereby to sustain said wet oxidation without addition of heat from another source.",19,11/162816,2005-09-23,2007-0071660,2007-03-29,7582269,2009-09-01,"Vertical Tube Reactor, LLC",US,1,,,,,Jay L. McGrew,,,,,,,,B01J-008/04,B01J-008/04 | B09B-003/00 | F28D-021/00 | C02F-001/68 | E21B-036/00,422/194,422/194 | 422/184.1 | 422/193 | 422/196 | 422/197 | 422/204 | 210/749 | 210/752 | 210/761 | 166/061,,,,4.90904E+12
US,US,P,A1,Method for stabilization of heavy metals and odor control with dicalcium phosphate dihydrate powder,"This invention provides a method for stabilization and treatment of heavy metal bearing materials and wastes subject to acid leaching tests or leach conditions and odor limits by addition of acid semi-soluble pulverized or fine particle DiCalcium Phosphate DiHydrate such that the leaching potential is inhibited to desired levels and odors are reduced to desired levels and the material or waste is free flowing, more permeable, less weight and permits immediate handling and disposal or reuse. The resultant material or waste after stabilization is deemed suitable for on-site reuse, off-site reuse or disposal as RCRA non-hazardous waste.","1. A method of reducing the leachability and odor of heavy metal bearing material or waste, comprising contacting the heavy metal bearing material or waste with pulverized or fine particle DiCalcium Phosphate DiHydrate (DCPDH) in an amount effective in reducing the leaching of heavy metals from the material or waste to a level no more than non-hazardous levels as determined in an EPA TCLP test, performed on the stabilized material or waste, as set forth in the Federal Register, vol. 55, no. 126, pp. 26985-26998 (Jun. 29, 1990), and odor in accordance with odor index by olfactory measure, wherein the heavy metal bearing material or waste is selected from the group consisting of incinerator flyash scrubber residue, combined ash comprising incinerator bottom ash and incinerator fly ash, coal furnace flyash, auto shredder residue, tire incinerator flyash and copper wire insulation.",8,12/386719,2009-04-22,2009-0209800,2009-08-20,,,,,0,,,,,Keith E. Forrester,,,,,,,,B09B-003/00,B09B-003/00,588/256,588/256,,,,5.40903E+12
US,US,P,A1,INTEGRATED WALL SYSTEM,"A composite wall system includes a foundationless wall substructure such as a sheet piling wall with a base portion embedded in the ground and an exposed portion extending above the ground, and one or more fascia panels or sheets such as synthetic simulated stonework panels applied over the foundationless wall substructure. Components of the wall system prevent debris from entering between the wall substructure and the fascia panels, and in seawall applications prevent water incursion and resist wave action.",1. A composite wall system comprising; a foundationless wall substructure having a base portion embedded in the ground and an exposed portion not embedded in the ground; and a panelized fascia attached to the foundationless wall substructure over at least the exposed portion thereof.,31,12/360430,2009-01-27,2009-0188180,2009-07-30,,,CMI LIMITED COMPANY,US,1,,,,,John E. Irvine | Steven E. Hargrave,,,,,,,,E02D-029/02,E02D-029/02 | E04C-002/32,052/169.13,052/169.13 | 052/630 | 052/300 | 052/741.13 | 052/745.19 | 052/309.1,,,,5.40903E+12
US,US,P,B2,Water treatment system and method,"A water treatment system provides treated or softened water to a point of use by removing a portion of any hardness-causing species contained in water from a point-of-entry coming from a water source, such as municipal water, well water, brackish water and water containing foulants. The water treatment system typically treats the water containing at least some undesirable species before delivering the treated water to a point of use. The water treatment system has a controller for adjusting or regulating at least one operating parameter of the treatment system or a component of the water treatment system to optimize the operation and performance of the system or components of the system. A flow regulator regulates a waste stream flow to drain and can be operated to recirculate fluid through electrode or concentrating compartments of an electrochemical device and can opened and closed intermittently according to a predetermined schedule or based on an operating parameter of the water treatment system. The flow regulator can also be charged so that ionic species can be generated in the surrounding fluid, which, in turn, can lower the pH of the surrounding fluid.",1. An electrochemical device comprising: an anode compartment and a cathode compartment; a depleting compartment in ionic communication with at least one of the anode compartment and the cathode compartment; a concentrating compartment in ionic communication with the depleting compartment; and a positively-charged flow regulator comprising a flow orifice positioned downstream of the concentrating compartment.,25,10/712163,2003-11-13,2005-0103644,2005-05-19,7563351,2009-07-21,Siemens Water Technologies Holding Corp.,US,1,EN047509,SIEMENS WATER TECHNOLOGIES HOL,,,Frederick Wilkins | Evgeniya Freydina | Aytac Sezgi | Reshma Madhusudan | Anil D. Jha,,,,,,,,B01D-061/44,B01D-061/44,204/524,204/524 | 204/525 | 204/533 | 204/536 | 204/632,,,,4.90903E+12
US,US,P,A1,"INTEGRAL SUBMARINE MAINTENANCE SYSTEM THAT OPERATES BY MEANS OF A SIMULTANEOUS REMOVING, VACUUMING AND FILTERING EFFECT, GENERATED BY A REMOVING DEVICE CONNECTED TO A VACUUM DEVICE, SAID VACUUM DEVICE BEING CONNECTED TO A STORAGE AND FILTERING DEVICE, SAID SYSTEM BEING USED TO CLEAN ORGANIC POLLUTION THAT ADHERES TO THE SUBSTRATE OF SUBMERGED CULTURE SYSTEMS AND/OR STRUCTURES AND/OR SHIPS AND/OR EQUIPMENT BOTH IN MARINE AND IN FRESH WATER","A comprehensive submarine maintenance system permits the cleaning of organic pollution adhered to the substrate provided by submerged cultivation systems and/or structures, ships, and submerged equipment both in sea waters and fresh waters, and accomplishes the simultaneous removing, suctioning, and filtering effect, generated by a removing device interconnected to a suctioning device while the latter is in turn connected to an accumulation and filtering device.","1. A comprehensive submarine maintenance system, which permits the cleaning of organic pollution adhered to the substrate provided by submerged cultivation systems and/or structures, ships, and submerged equipment both in sea waters and fresh waters, CHARACTERIZED in that it accomplishes the simultaneous removing, suctioning, and filtering effect, generated by a removing device interconnected to a suctioning device while the latter is in turn connected to an accumulation and filtering device.",87,12/119100,2008-05-12,2009-0173677,2009-07-09,,,,,0,,,,,Rodrigo Andres Geraldo SEURA,1364-2007,CL,2007-05-11,,,,,C02F-003/06,C02F-003/06 | C02F-103/08 | B01D-021/30,210/138,210/138 | 210/170.1 | 210/170.11,,,,5.40903E+12
US,US,P,A1,WATER TREATMENT PROCESS FOR OILFIELD PRODUCED WATER,"The invention relates to a method and system for treating an aqueous liquid containing dissolved minerals and dissolved hydrocarbons. Method steps and apparatus for treating a waste water feed stream are disclosed which utilize a warm lime softening system in fluid communication with the waste water feed stream, wherein sludge from the warm lime softening system is recycled to improve lime utilization and enhance silica and boron removal without the addition of an external source of magnesium. In addition, a microfiltration system and/or an air stripper system may be used in fluid communication with at least one reverse osmosis system to produce a treatment water that meets state and federal guidelines for surface discharge.","1. A method of treating an aqueous liquid containing dissolved minerals and dissolved hydrocarbons, the method comprising: passing an aqueous liquid containing dissolved minerals and dissolved hydrocarbons through a warm lime softener at a pH of about 11; adjusting the pH of an effluent from the warm lime softener to a pH of between about 9 and about 9.6 by adding a mineral acid; and passing the effluent from the warm lime softener through a microfilter prior to contacting a reverse osmosis system.",20,12/405781,2009-03-17,2009-0173692,2009-07-09,,,"WATER & POWER TECHNOLOGIES, INC.",US,1,,,,,James W. Laraway | Richard E. Weber | Donald J. Thomas,,,,,,,,C02F-005/06,C02F-005/06 | C02F-001/44 | C02F-001/42,210/638,210/638 | 210/639 | 210/190,,,,5.40903E+12
US,US,P,A1,WASTE-ACTIVATED SLUDGE TREATMENT METHODS AND APPARATUS,"A method for treating waste-activated sludge comprises adding (1) a pozzolanic material to waste-activated sludge to form a mixture. The mixture is homogenized and aerated (2). The pozzolanic material reacts with the waste-activated sludge. The mixture is allowed to settle (3). A portion of the mixture is recirculated (4) from a downstream location to an upstream location. The recycled mixture includes pozzolanic material. Some embodiments provide advantages over existing wastewater treatment methods which may include: reduction or elimination of unpleasant odours, reduction of overall costs, conversion of waste into useful products, and/or reduction or elimination of discharged bacteria or other undesirable materials.","1. A method for treating waste-activated sludge, the method comprising: (a) adding pozzolanic material to waste-activated sludge to form a mixture; (b) homogenizing and aerating the mixture to react the pozzolanic material with the waste-activated sludge; (c) settling the mixture; (d) recirculating a portion of the mixture from a downstream location to an upstream location wherein the portion of the mixture being recirculated includes pozzolanic material.",52,12/300553,2007-05-11,2009-0166288,2009-07-02,,,,,0,,,,,Gerd Peter Waschke,,,,,,,,C02F-011/00,C02F-011/00 | C02F-011/14,210/626,210/626 | 210/195.3,,,,5.40903E+12
US,US,P,A1,HYDROPHOBIC OIL ADSORBENT MATERIAL AND PROCESS FOR PRODUCTION AND USE,"The subject of the invention is a hydrophobic, oil-adsorbent material separating oil from water as well as methods for production and application of said material, suitable for collecting and removing hydrocarbons and other contaminations of oil content from solid surface and water as well. During the method the adsorbent material is made from a chalk base raw material with an auxiliary material and during preparing the adsorbent material, ground and dried chalk (CaO) is used, which is characterized by that, during preparing the adsorbent material 29.3-86.2 mass percent, preferably 39.1-72.84 mass percent of ground and dried chalk (CaO) is applied as raw material, and during steady mixing 3.45-11.75 mass percent, preferably 4.12-9.21 mass percent of liquid adsorbent agent and liquid catalyst are added as auxiliary materials, the composition of which is 2.95-7.75 mass percent, preferably 4.15-5.85 mass percent of liquid adsorbent agent and 1.2-3.4 mass percent, preferably 1.34-1.76 mass percent of liquid catalyst, then during additional steady mixing 18.25-55.75 mass percent, preferably 26.55-48.45 mass percent of water and stabilizer are added to the well mixed and steadily blended material, then after the chemical reaction the ready adsorbent material is dehydrated, emptied and left to cool evenly and let it rest for 24-48 hours, and the composition of the adsorbent agent applied during the method is:        component volume percentage     Palmitic acid 2.75-6.75%  Stearic acid 0.75-3.75%  Oleic acid ??30-97.50%  Linoleic acid 9.00-33.00%  Linolenic acid 3.50-15%  Erucidic acid <3%      furthermore the composition of the catalyst applied during the method is:        component volume percentage     Ethyl alcohol 45-97%  Denaturant ?0.1-0.50%  Catalyst additive 3.00-54.5%      in which the composition of the catalyst additive is:        component volume percentage     Benzine 33.75%-90%???  Benzol 10-30%  Pyridine ?3.75-11.25%  Methanol 2.5-7.5%      and the stabilizer used during the method is potassium silicate with a quantity of 0.01-0.002 mass % proportioned to the total mass of materials applied during the method. ","1. Method for the production of a hydrophobic adsorbent material separating oil from water and binding it during which the adsorbent material is made from a chalk base raw material with an auxiliary material and during preparing the adsorbent material, ground and dried chalk (CaO) is used, characterized by that, during preparing the adsorbent material 29.3-86.2 mass percent, preferably 39.1-72.84 mass percent of ground and dried chalk (CaO) is applied as raw material, and during steady mixing 3.45-11.75 mass percent, preferably 4.12-9.21 mass percent of liquid adsorbent agent and liquid catalyst are added as auxiliary materials, the composition of which is 2.95-7.75 mass percent, preferably 4.15-5.85 mass percent of liquid adsorbent agent and 1.2-3.4 mass percent, preferably 1.34-1.76 mass percent of liquid catalyst, then during additional steady mixing 18.25-55.75 mass percent, preferably 26.55-48.45 mass percent of water and stabilizer are added to the well mixed and steadily blended material, then after the chemical reaction the ready adsorbent material is dehydrated, emptied and left to cool evenly and let it rest for 24-48 hours, and the composition of the adsorbent agent applied during the method is:        component volume percentage     Palmitic acid 2.75-6.75%  Stearic acid 0.75-3.75%  Oleic acid ??30-97.50%  Linoleic acid ?9.00-33.00%  Linolenic acid 3.50-15%??  Erucidic acid <3%     furthermore the composition of the catalyst applied during the method is:        component volume percentage     Ethyl alcohol 45-97%  Denaturant ?0.1-0.50%  Catalyst additive 3.00-54.5%     in which the composition of the catalyst additive is:        component volume percentage     Benzine 33.75%-90%????  Benzol 10-30%  Pyridine ?3.75-11.25%  Methanol 2.5-7.5%     and the stabilizer used during the method is potassium silicate with a quantity of 0.01-0.002 mass % proportioned to the total mass of materials applied during the method.",15,12/279875,2007-03-02,2009-0137384,2009-05-28,,,,,0,,,,,Janos KATAY,P0600175,HU,2006-03-03,,,,,B01J-031/04,B01J-031/04,502/172,502/172,,,,5.40902E+12
US,US,P,A1,"Masonry Cavity Wall having a Compressible, Expandable Debris Blocker and Method of Assembly","A mortar and debris collection device for use within a cavity wall to prevent the blockage of weep holes at the base of the wall. The cavity wall assembly includes a masonry wall, an adjacent inner wall, a wall cavity therebetween, and a free-standing elongate strip of openwork material located within the cavity forming a debris collection surface a spaced distance above a base surface of the cavity. Preferably, the openwork material is inserted and positioned within the cavity after the inner wall and only a base portion of the outer masonry wall is constructed. Thereafter, the upper portion of the outer masonry wall is constructed and any mortar or debris falling into the cavity is caught and supported on the debris collection surface.","1. A masonry cavity wall assembly, comprising: an exterior masonry wall adjacent an inner wall defining a wall cavity therebetween above a base surface; and a free-standing elongate strip of material supported on said base surface within said wall cavity forming a debris collection surface a spaced distance above said base surface for supporting thereon excess mortar and debris falling within said wall cavity; said strip of material having a substantially inverted “U”-shape in transverse cross-section and being made of an openwork material that permits moisture to drain therethrough and that prevents mortar from passing therethrough.",18,12/357599,2009-01-22,2009-0126290,2009-05-21,,,BENJAMIN OBDYKE INCORPORATED,US,1,EN059183,BENJAMIN OBDYKE INC,,,Geoffrey N. Ehrman | Michael S. Coulton | Nathan L. Randello,,,,,,,,E02D-019/00,E02D-019/00 | E04C-002/20 | E04G-021/24 | E04C-002/30,052/169.5,052/169.5 | 052/309.4 | 052/741.3 | 052/717.3,,,,5.40902E+12
US,US,P,A1,RISER PAN COMPONENT FOR ON-SITE WASTE SYSTEMS,"An integrally formed riser pan member for use as a modular component within an access passageway for an on-site waste disposal system, such as a septic tank, to receivably retain a secondary cover member within, the riser pan member including a cylindrical body having an upper portion having a vertical wall member adapted to receive another modular passageway component thereon, and a lower portion which includes an integral pan portion to seatably receive a secondary cover member. The riser pan member further includes an annular ring between the upper and lower portions. The riser pan member can be employed as a lowermost, a highermost, or as an intermediate component in, for example, an access passageway formed of multiple stackable riser members. In addition, the riser pan member may be formed integrally with a stackable riser member.","78: A modular passageway component for use in on-site waste disposal systems comprising: a substantially cylindrical body including an upper portion and a lower portion, having disposed therebetween an annular ring; the upper portion including a generally vertical wall adapted to receive a passageway component; and an integral pan portion depending downwardly from the annular ring and adapted to seatably receive a cover.",99,12/329367,2008-12-05,2009-0120013,2009-05-14,,,"TUF-TITE, INC.",US,1,,,,,Theodore W. Meyers,,,,,,,,E02D-029/14,E02D-029/14 | B65D-088/76 | E04H-005/00 | E04C-002/20 | E04B-001/41 | E04B-001/66 | B65D-090/10,052/020,052/020 | 220/567.1 | 052/079.8 | 052/309.1 | 052/712 | 052/741.4 | 052/745.6 | 052/745.16,,,,5.40902E+12
US,US,P,A1,"Apparatus, System and Method for Recovery of Artifacts and Eradication of Invasive Species in Aquatic Environments","An apparatus, system and method for recovery of artifacts and eradication of invasive species in aquatic environments. The structure may comprise an elongate flexible bladder blanket divider having first and second ends. The structure may have an open bore vertical support operably coupled to the first and second ends. Each end extends into the open bore vertical support and rests on at least one apron bladder of an apron bladder bundle. The at least one apron bladder is contained in the open bore vertical support and at least one apron bladder is between the end of the vertical support and the bottom of the body of water. A method of using the apparatus, comprising providing an apparatus having variable volume first and second compartments separated by a flexible bladder blanket divider; and introducing agents through openings in the bladder to control the growth of or kill the invasive organisms.","1. An apparatus for recovering historical artifacts, eradicating invasive species, or restoring plant life, comprising: an elongate flexible bladder blanket divider having first and second ends, wherein each end rests on at least one apron bladder of an apron bladder bundle, and wherein each apron bladder is between the respective end of the elongate flexible bladder blanket divider and the bottom of a body of water. ",24,12/352295,2009-01-12,2009-0120870,2009-05-14,,,,,0,,,,,Thomas J. Kryzak,,,,,,,,E02B-003/02,E02B-003/02 | C02F-003/32 | C02F-101/12,210/602,210/602 | 210/170.9 | 210/085 | 901/031,,,,5.40902E+12
US,US,P,B2,Mediated electrochemical oxidation used for sterilization/disinfection,"A medicated electrochemical oxidation process is used for sterilization/disinfection of contaminated instruments and infectious waste. Contaminated instruments and waste are introduced into an apparatus for contacting the infectious waste with an electrolyte containing the oxidized form of one or more reversible redox couples, at least one of which is produced at the anode of an electrochemical cell. The oxidized species of the redox couples oxidize the infectious waste molecules and are themselves converted to their reduced form, whereupon they are reoxidized by either of the aforementioned mechanisms and the redox cycle continues until all oxidizable infectious waste species have undergone the desired degree of oxidation. The entire process takes place at temperatures between ambient and approximately 100 degree celsius. The oxidation process will be enhanced by the addition of reaction of reaction enhancements, such as: ultrasonic energy and/or ultraviolet radiation.","1. A process for treating and oxidizing infectious waste, comprising circulating anions of mediator oxidizing species in an electrolyte through an electrochemical cell and affecting anodic oxidation of reduced forms of reversible redox couples into oxidized forms, contacting the ions with the infectious waste in an anolyte portion of the electrolyte in a primary oxidation process, involving super oxidizer ions, having an oxidation potential above a threshold value of 1.7 volts at 1 molar, 25° C. and pH1 are present there is a free radical oxidizer driven secondary oxidation process, adding energy from an energy source to the anolyte portion and augmenting the secondary oxidation processes, breaking down hydrogen peroxide in the anolyte portion into hydroxyl free radicals, and increasing an oxidizing effect of the secondary oxidation processes.",74,10/502323,2003-01-24,2005-0000828,2005-01-06,7531080,2009-05-12,"Scimist, Inc.",US,1,EN085373,SCIMIST INC,,,Roger W. Carson | Bruce W. Bremer,,,,WO2003-072509,2003-09-04,,,C02F-001/46,C02F-001/46,205/688,205/688 | 205/701 | 205/742 | 205/751 | 204/242 | 204/275.1 | 204/276,,,,4.90902E+12
US,US,P,A1,System and Method for Anaerobic Digestion of Biomasses,"Provided herein are methods and system for the production of biogas, U.S. Environmental Protection Agency classified Class A Biosolids, and pathogen reduced organic liquid fertilizer. Through the digestion of waste materials using sequential phases in an efficient digestion process, enhanced biomass conversion efficiency and improved output of products (in quantity and/or quality) are obtained with a significant reduction in dwell time in each phase.","1. A method comprising: providing a biomass as a feed stream; aerobically hydrolyzing at least a portion of the feed stream in a hydrolysis stage; transferring at least a portion of the feed stream after hydrolysis to an acidifying stage; anaerobically acidifying at least a portion of the feed stream at a first temperature; transferring at least a portion of the feed stream after acidifying to a thermophilic stage; and anaerobically converting at least a portion of the feed stream in the thermophilic stage at a second temperature, wherein converting includes forming at least acetic acid, methane and carbon dioxide.",142,12/258925,2008-10-27,2009-0107913,2009-04-30,,,,,0,,,,,Detlev K. Johnson,,,,,,,,C02F-003/30,C02F-003/30,210/604,210/604 | 210/613 | 210/603 | 210/609 | 071/009 | 210/151 | 210/177 | 210/188 | 210/765,,,,5.40902E+12
