nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
9554325,공통업무,"2016년 8월 종로소방서(연건) 업무추진비 집행내역",박형태,연건119안전센터,20160903192358,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-747-8119,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554325
9554519,공통업무,"업무추진비 2016년도 8월분 집행내역(뚝도아리수정수센터)",이문상,행정관리과,20160904000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",0231465511,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554519
9554520,공통업무,"2016년 8월 업무추진비 공개내역(용산소방서 현장대응단)",이병화-22,현장대응단,20160904134304,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",793-0119,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554520
9554521,공통업무,"2016년 8월 도시계획과 도시관리과 업무추진비 집행내역",황효순,도시관리과,20160904145504,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-8377,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554521
9554550,공통업무,"2016년 8월 기획조정실 법률지원담당관 업무추진비 집행내역",오정은,법률지원담당관,20160904000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2133-6707,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554550
9554551,공통업무,"2016.8월 재무국 세무과 업무추진비 집행내역 공개",최석훈,세무과,20160904204951,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-3385,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554551
9554552,공통업무,"2016년 8월 물순환안전국 물재생시설과 업무추진비 공개",김은영,물재생시설과,20160904214707,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2133-3827,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554552
9554554,공통업무,"2016년 8월 도시기반시설본부 건설총괄부 업무추진비 집행내역",김대하,건설총괄부,20160905084031,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3708-2326,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554554
9554555,공통업무,"2016년 8월 안전총괄본부 서울역일대종합발전기획단 업무추진비 집행내역",이철승,서울역일대종합발전기획단,20160905084124,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-8693,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554555
9554556,공통업무,"2016-8월 한양도성도감 업무추진비 사용내역 ",하정아,한양도성도감,20160905091100,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2133-2654,"CC BY",http://opengov.seoul.go.kr/public/9554556
9554557,공통업무,"2016년 8월 시의회사무처 기획경제전문위원실 업무추진비 집행내역 공개",박진,기획경제전문위원실,20160905091846,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",(02)3705-1209,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554557
9554558,공통업무,"어린이병원 원무과 8월 업무추진비 사용내역 공개 ",강선미,원무과,20160905092302,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-570-8038,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554558
9554559,공통업무,"2016년 8월 정보기획관 정보시스템담당관 업무추진비 집행내역 ",김연숙,정보시스템담당관,20160905093108,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2133-2971,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554559
9554561,공통업무,"2016년 8월 서울역사편찬원 업무추진비 집행내역",이영미,시사편찬과,20160905094315,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-413-9688,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554561
9554562,공통업무,"2016년 8월 물순환안전국 물재생계획과 업무추진비 집행내역 공개",조상열,물재생계획과,20160905094400,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-3783,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554562
9554563,공통업무,"2016년  8월 119특수구조단 업무추진비 집행내역",오창훈,행정지원과,20160905000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3706-1917,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554563
9554564,공통업무,"2016년 8월 지역발전본부 동북권사업단 업무추진비 집행내역",채창옥,동북권사업단,20160905095304,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2133-8279,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554564
9554565,공통업무,"2016년 8월 서울혁신기획관 지역공동체담당관 업무추진비 집행내역",윤애심,지역공동체담당관,20160905095344,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-6335,"CC BY",http://opengov.seoul.go.kr/public/9554565
9554566,공통업무,"2016.8월 시설안전부 업무추진비 집행내역",조재형,누수방지과,20160905102115,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-1511,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554566
9554567,공통업무,"2016년 8월 안전총괄본부 안전총괄관 보도환경개선과 업무추진비 집행내역",장수근,보도환경개선과,20160905102436,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-8108,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554567
9554568,세금재정,"2015년도 자치구별 시유건물현황",최정아,자산관리과,20160905102802,"세금재정>재정>서울시 소유 건축물 현황>서울시 소유 건축물 현황",02)2133-3296,"CC BY-ND",http://opengov.seoul.go.kr/public/9554568
9554569,공통업무,"'16년 8월 동물보호과 업무추진비 집행내역 ",김연숙,동물보호과,20160905103015,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-7650,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554569
9554570,공통업무,"2016년 8월 동작소방서 예방과 부서운영업무추진비 집행내역",박정원,예방과,20160905104922,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-848-7600,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554570
9554761,공통업무,"2016.7월 체육정책과 법인카드 사용내역",이진성,체육정책과,20160905112330,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-2679,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554761
9554762,공통업무,"2016.8월 체육정책과 법인카드 사용내역",이진성,체육정책과,20160905112423,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-2679,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554762
9554765,공통업무,"2016년 8월 안전총괄본부 안전총괄관 안전총괄과 업무추진비 집행내역",신민표,안전총괄과,20160905113430,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-8015,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554765
9554767,공통업무,"2016년 8월 시민소통기획관 도시브랜드담당관 업무추진비 집행내역",최영아,도시브랜드담당관,20160905115016,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-6189,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554767
9554768,공통업무,"2016년 8월 상수도사업본부 급수부 업무추진비 공개 ",문정혜,계획설계과,20160905125659,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-1411,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554768
9554769,공통업무,"16년8월 부서운영업무추진비 집행내역",홍란희,건축기획과,20160905131021,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-7098,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554769
9554770,공통업무,"16년8월 시책추진업무추진비 집행내역",홍란희,건축기획과,20160905131208,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-7098,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554770
9554771,공통업무,"북부수도사업소 현장민원과 8월 부서운영업무추진비 사용내역",황은주,"북부수도사업소 현장민원과",20160905131433,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3146-2901,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554771
9554772,공통업무,"서부공원녹지사업소 시설과 8월분 업무추진비 집행실적",양근대,시설과,20160905132417,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-300-5536,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554772
9554773,건강,"2016년 상반기 농수산물 부적합 현황",홍민정,식품안전과,20160905132905,"건강>식생활 안전>농산물 잔류농약 검사>부적합 농수산물 현황",2133-4736,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554773
9554774,공통업무,"2016년 8월 갈등조정담당관 업무추진비 사용내역 공표",이연주,갈등조정담당관,20160905134809,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-6356,"CC BY-ND",http://opengov.seoul.go.kr/public/9554774
9554775,공통업무,"2016년 8월 서울시립미술관 학예연구부 업무추진비 집행내역",문덕기,교육홍보과,20160905000000,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-2124-8926,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554775
9554776,공통업무,"8월 시민건강국 식품안전과 업무추진비  사용실적 공개",김윤정,식품안전과,20160905140548,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2133-4706,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554776
9554777,공통업무,"2016년 8월 보건환경연구원 식품의약품부 부서운영업무추진비 집행내역 공개 ",최희진,식품의약품부,20160905140602,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-570-3265,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554777
9554778,공통업무,2016년8월서부수도사업소급수운영과부서운영업무추진비사용내역,임재석,급수운영과,20160905140603,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",3146-3642,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554778
9554779,공통업무,"2016년 상품권 구매내역 및 사용내역(서부수도사업소 시설관리과)",김용민,시설관리과,20160905141227,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-3146-3707,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554779
9554780,공통업무,"2016년 8월 도시기반시설본부 시설국 설비부 업무추진비 집행내역",김미란,설비부,20160905141752,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",02-3708-8609,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554780
9554781,건강,"유해물질 수거검사 현황(2015년)",안성호,식품안전과,20160905143027,"건강>식생활 안전>유해물질 수거검사 현황>유해물질 수거검사 현황",21334732,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554781
9554782,공통업무,"동부공원녹지사업소 조경지원과 8월분 업무추진비 집행내역",김영립,조경지원과,20160905143228,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",2181-1173,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554782
9554783,건강,"2016년 가공식품 안전관리 계획",안성호,식품안전과,20160905143418,"건강>식생활 안전>가공식품 안전 종합대책>가공식품 안전관리 종합계획",21334732,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554783
9554784,공통업무,"2016년 8월 도시기반시설본부 도시철도건축부 업무추진비 집행내역",임숙경,도시철도건축부,20160905143601,"공통업무>업무추진비 사용내역>업무추진비 사용내역>실국본부장, 4급이상 공무원이 장인 부서 및 기관의 업무추진비",772-7337,"CC BY-NC-ND",http://opengov.seoul.go.kr/public/9554784
